Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
26;220819;1500;0.01;0.02128;0.02835;30;0.1;0.2;Ac;2000;;0.355;1;3;NR;1;0;;;P;-
27;220819;1500;0.01;0.02128;0.02835;15;0.2;0.2;Ac;2000;;0.355;1;02. Mrz;NR;0;0;;;P;-
28;2208024;1500;0.0025;0.00532;0.00709;150;0.02;0.8;Ac;2000;;0.355;1;04. Jul;NR;0;0;;;P;-
29;2208024;1500;0.005;0.01064;0.01418;150;0.02;0.4;Ac;2000;;0.355;1;03. Apr;NR;0;0;;;P;-
30;2208024;1500;0.02;0.04255;0.0567;150;0.02;0.1;Ac;2000;;0.355;1;02. Mrz;NR;0;0;;;P;-
31;2208024;1500;0.05;0.10638;0.14175;150;0.02;0.04;Ac;2000;;0.355;1;2;NPL;1;0;;;P;-
32;2208024;1500;0.1;0.21275;0.2835;150;0.02;0.02;Ac;2000;;0.355;1;01. Feb;NPL;0;0;;;P;-
33;220826;1500;0.0025;0.00532;0.00709;150;0.005;0.2;Ac;2000;;0.355;1;03. Apr;?;0.5;0;;;P;-
34;220826;1500;0.005;0.01064;0.01418;150;0.01;0.2;Ac;2000;;0.355;1;3;?;0.5;0;;;P;-
35;220826;1500;0.02;0.04255;0.0567;150;0.04;0.2;Ac;2000;;0.355;1;3;NR;0.5;0;;;P;-
36;220826;1500;0.05;0.10638;0.14175;150;0.1;0.2;Ac;2000;;0.355;1;02. Mrz;?;0;0;;;P;-
37;220826;1500;0.1;0.21275;0.2835;150;0.2;0.2;Ac;2000;;0.355;1;02. Mrz;?;0;0;;;P;-
38;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;2250;;0.355;1;3;NR;1;0;;;P;-
39;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;2500;;0.355;1;03. Apr;NR;0;0;;;P;-
40;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;2750;;0.355;1;03. Apr;NR;0;0;;;P;-
41;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;3000;;0.355;1;03. Apr;NR;0;0;;;P;-
42;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;3250;;0.355;1;03. Apr;NR;0;0;;;P;-
43;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;3500;;0.355;1;4;NR;1;0;;;P;-
44;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;3750;;0.355;1;4;NR;1;0;;;P;-
45;230728;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;4000;;0.355;1;4;NR;1;0;;;P;-
46;230904;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2250;;0.654;1;4;NPL;1;0;;;P;-
47;230904;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2500;;0.654;1;5;NPL;1;0;;;P;-
48;230904;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2750;;0.654;1;5;NPL;1;0;;;P;-
49;230904;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;3000;;0.654;1;5;NPL;1;0;;;P;-
