Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
194;240513;2915;0.004;0.00851;0.01134;364;0.02;0.624;n-BuOH;3310;;0.586;1;7;NPL;1;0.8772;nr_of_nano_4_tradeoff_2;1;S;-
195;240513;3900;0.006;0.01277;0.01701;473;0.02;0.404;EtOH;1240;;0.654;1;3;NPL;1;0.1126;nr_of_nano_5_tradeoff_0.1;1;S;-
196;240513;4555;0.005;0.01064;0.014175;428;0.02;0.376;EtOH;1500;;0.654;1;3;NPL;1;0.2832;nr_of_nano_5_tradeoff_2;1;S;-
197;240513;4420;0.005;0.01064;0.014175;492;0.02;0.445;EtOH;910;;0.654;1;3;NPL;1;0.2951;nr_of_nano_6_tradeoff_0.1;1;S;-
198;240513;4960;0.002;0.00426;0.00567;190;0.02;0.383;EtOH;1920;;0.654;1;4;NPL;1;0.4492;nr_of_nano_6_tradeoff_2;1;S;-
199;240514;1585;0.006;0.01277;0.01701;387;0.02;0.814;MeOH;880;;0.762;1;12;NC;1;0.0156;nr_of_nano_7_tradeoff_0.1;1;P;-
200;240514;1165;0.007;0.01489;0.019845;150;0.02;0.368;MeOH;759;;0.762;1;12;NC;1;0.5845;nr_of_nano_7_tradeoff_2;1;P;-
201;240514;1765;0.011;0.0234;0.031185;435;0.02;0.448;MeOH;1195;;0.762;1;12;NC;1;0.376;nr_of_nano_8_tradeoff_0.1;1;P;-
202;240514;2645;0.009;0.01915;0.025515;459;0.02;0.386;MeOH;1800;;0.762;1;12;NC;1;0.7182;nr_of_nano_8_tradeoff_2;1;P;-
203;240523;4545;0.011;0.0234;0.031185;68;0.1217;0.242;MeOH;1255;;0.762;1;4;NPL;1;0.4055;nr_of_nano_7_tradeoff_0.1;1;S;-
204;240523;1200;0.0183;0.03893;0.0518805;81;0.0952;0.368;MeOH;818;;0.762;0;-;-;0;0;nr_of_nano_7_tradeoff_2;;-;-
205;240523;4955;0.0165;0.0351;0.0467775;167;0.211;0.367;MeOH;3365;;0.762;1;-;-;0;0;nr_of_nano_8_tradeoff_0.1;;-;-
206;240523;2635;0.0146;0.03106;0.041391;106;0.1315;0.363;MeOH;1810;;0.762;1;12;NC;0;0.1782;nr_of_nano_8_tradeoff_2;1;P;-
207;240528;4710;0.0088;0.01872;0.024948;272;0.02;0.238;MeOH;1245;;0.762;1;3;NPL;1;0.1045;nr_of_nano_4_tradeoff_0.1;1;P;-
208;240528;1905;0.0061;0.01298;0.0172935;452;0.02;0.166;EtOH;264;;0.654;1;4;NPL;1;0.2203;nr_of_nano_4_tradeoff_2;1;S;-
209;240528;3635;0.0124;0.02638;0.035154;474;0.02;0.243;MeOH;1005;;0.762;1;3;NPL;1;0.1072;nr_of_nano_5_tradeoff_0.1;1;P;-
210;240528;4875;0.0025;0.00532;0.0070875;310;0.02;0.255;i-PrOH;2620;;0.546;1;4;NPL;1;0.2439;nr_of_nano_5_tradeoff_2;1;S;-
211;240528;4830;0.003;0.00638;0.008505;166;0.02;0.247;MeOH;1385;;0.762;1;5;NPL;1;0.4177;nr_of_nano_6_tradeoff_0.1;1;S;-
212;240528;4695;0.0022;0.00468;0.006237;262;0.02;0.286;i-PrOH;3360;;0.546;1;4;NPL;1;0.2928;nr_of_nano_6_tradeoff_2;1;S;-
213;240528;3615;0.0038;0.00808;0.010773;171;0.02;0.242;MeOH;995;;0.762;1;5;NPL;1;0.4485;nr_of_nano_7_tradeoff_0.1;1;S;-
214;240528;4820;0.0032;0.00681;0.009072;490;0.02;0.347;n-PrOH;4435;;0.617;1;8;NPL;0;0.3061;nr_of_nano_7_tradeoff_2;;P;-
215;240528;1255;0.0107;0.02276;0.0303345;340;0.02;0.323;MeOH;639;;0.762;1;4;NPL;1;0.273;nr_of_nano_8_tradeoff_0.1;1;S;-
216;240528;576;0.0184;0.03915;0.052164;318;0.02;0.311;MeOH;271;;0.762;1;8;NPL;0;0.5809;nr_of_nano_8_tradeoff_2;;S;-
217;240528;2185;0.0047;0.01;0.0133245;255;0.02;0.246;MeOH;620;;0.762;1;6;NPL;1;0.3935;nr_of_nano_9_tradeoff_0.1;1;S;-
218;240508;4710;0.0088;0.01872;0.024948;272;0.02;0.238;MeOH;1245;;0.762;1;3;NPL;1;0.4061;nr_of_nano_4_tradeoff_0.1;1;S;-
219;240508;3635;0.0124;0.02638;0.035154;474;0.02;0.243;MeOH;1005;;0.762;1;3;NPL;1;0.3037;nr_of_nano_5_tradeoff_0.1;1;S;-
220;240528;4830;0.003;0.00638;0.008505;166;0.02;0.247;MeOH;1385;;0.762;1;7;NPL;1;0.4468;nr_of_nano_6_tradeoff_0.1;1;P;-
221;240528;3615;0.0038;0.00808;0.010773;171;0.02;0.242;MeOH;995;;0.762;1;7;NPL;1;0.6156;nr_of_nano_7_tradeoff_0.1;1;P;-
222;240528;4820;0.0032;0.00681;0.009072;490;0.02;0.347;n-PrOH;4435;;0.617;1;8;NPL;1;0.254;nr_of_nano_7_tradeoff_2;1;S;-
223;240528;2185;0.0047;0.01;0.0133245;255;0.02;0.246;MeOH;620;;0.762;1;12;NPL;1;0.6558;nr_of_nano_9_tradeoff_0.1;1;P;-
224;JP01;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1335;;0.269;1;4;NPL;1;0;;;S;-
225;JP02;1000;0.005;0.0106;0.0142;100;0.02;0.4;CyPen;1335;;0.269;1;6;NPL;1;0;;;S;-
226;JP03;1000;0.0033;0.0071;0.0094;100;0.02;0.6;CyPen;1335;;0.269;1;7;NPL;1;0;;;S;-
227;JP04;1000;0.0025;0.0053;0.0071;100;0.02;0.8;CyPen;1335;;0.269;1;12;NC;1;0;;;S;-
228;JP05;1000;0.002;0.0043;0.0057;100;0.02;1;CyPen;1335;;0.269;1;8;NPL;1;0;;;S;-
229;JP06;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;1335;;0.269;1;5;NPL;1;0;;;S;-
230;JP07;1000;0.004;0.0085;0.0113;100;0.02;0.5;CyPen;1335;;0.269;1;7;NPL;1;0;;;S;-
231;JP08;1000;0.0029;0.0061;0.0081;100;0.02;0.7;CyPen;1335;;0.269;1;12;NC;1;0;;;S;-
232;JP10;1000;0.02;0.0426;0.0567;100;0.02;0.1;CyPen;1335;;0.269;1;3;NPL;1;0;;;S;-
233;JP11;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;1500;;0.269;1;5;NPL;1;0;;;S;-
234;JP12;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;1750;;0.269;1;6;NPL;1;0;;;S;-
235;JP13;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;2000;;0.269;1;6;NPL;1;0;;;S;-
236;JP15;1500;0.0066;0.014;0.0187;150;0.02;0.3;CyPen;1125;;0.269;1;4;NPL;1;0;;;S;-
237;JP16;1500;0.0066;0.014;0.0187;150;0.02;0.3;CyPen;750;;0.269;1;3;NPL;1;0;;;S;-
238;JP17;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;1250;;0.269;1;4;NPL;1;0;;;S;-
239;JP18;750;0.0066;0.014;0.0187;75;0.02;0.3;CyPen;2000;;0.269;1;7;NPL;1;0;;;S;-
240;JP19;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;1000;;0.269;1;4;NPL;1;0;;;S;-
241;JP20;1000;0.0066;0.014;0.0187;100;0.02;0.3;CyPen;2000;;0.269;1;7;NPL;1;0.3196;;1;S;-
242;JP21;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1500;;0.269;1;5;NPL;1;0;;;S;-
243;JP22;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1225;;0.269;1;4;NPL;1;0;;;S;-
244;JP23;750;0.02;0.0426;0.0567;75;0.02;0.1;CyPen;1840;;0.269;1;4;NPL;1;0;;;S;-
245;JP24;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1225;;0.269;1;4;NPL;1;0.1761;;1;S;-
246;240613;769;0.0034;0.0072;0.0096;20;0.02;0.15;EtAc;3990;;0.228;1;2;NPL;1;0.0596;nr_of_nano_4_tradeoff_0.1;1;P;-
247;240613;829;0.015;0.016;0.0213;330;0.02;0.53;n-PrOH;635;;0.617;1;3;NPL;1;0.162;nr_of_nano_4_tradeoff_2;1;S;-
248;240613;3690;0.0018;0.0013;0.0017;49;0.02;0.15;MeOH;752;;0.762;1;6;NPL;1;0.5541;nr_of_nano_5_tradeoff_0.1;1;S;-
249;240613;4935;0.0025;0.0013;0.0018;497;0.02;0.81;n-BuOH;3400;;0.586;1;8;NPL;1;0.5796;nr_of_nano_5_tradeoff_2;1;S;-
250;240613;3380;0.0031;0.0013;0.0018;217;0.02;0.41;n-BuOH;3490;;0.586;1;4;NPL;1;0.1684;nr_of_nano_6_tradeoff_0.1;1;S;-
251;240613;4875;0.002;0.0028;0.0037;374;0.02;0.77;n-BuOH;3630;;0.586;1;8;NPL;1;0.6075;nr_of_nano_6_tradeoff_2;1;S;-
252;240618;4390;0.0029;0.0025;0.0033;265;0.02;0.42;n-BuOH;3890;;0.586;1;4;NPL;1;0.1546;nr_of_nano_7_tradeoff_0.1;1;S;-
253;240618;4955;0.001;0.0006;0.0008;204;0.02;0.82;n-BuOH;3635;;0.586;1;8;NPL;1;0.4226;nr_of_nano_7_tradeoff_2;1;S;-
254;240618;3850;0.0023;0.0098;0.013;190;0.02;0.43;n-BuOH;4105;;0.586;1;6;NPL;1;0.3713;nr_of_nano_8_tradeoff_0.1;1;S;-
255;240618;4915;0.0013;0.0018;0.0024;137;0.02;0.43;n-BuOH;4945;;0.586;1;7;NPL;1;0.5442;nr_of_nano_8_tradeoff_2;1;S;-
256;240618;4400;0.0062;0.0087;0.0116;455;0.02;0.33;n-BuOH;4405;;0.586;1;3;NPL;1;0.2795;nr_of_nano_9_tradeoff_0.1;1;P;-
257;240618;4400;0.0062;0.0087;0.0116;455;0.02;0.33;n-BuOH;4405;;0.586;1;3;NPL;1;0.1692;nr_of_nano_9_tradeoff_0.1;1;S;-
258;240618;3850;0.0023;0.0032;0.0043;190;0.02;0.43;n-BuOH;4105;;0.586;1;12;NC;1;0.5699;nr_of_nano_8_tradeoff_0.1;1;P;-
259;240618;4915;0.0013;0.0018;0.0024;137;0.02;0.43;n-BuOH;4945;;0.586;1;12;NC;1;0.5442;nr_of_nano_8_tradeoff_2;1;P;-
260;240618;4955;0.001;0.0014;0.0019;204;0.02;0.82;n-BuOH;3635;;0.586;1;12;NC;1;0.4631;nr_of_nano_7_tradeoff_2;1;P;-
261;240613;829;0.015;0.0211;0.0281;330;0.02;0.53;n-PrOH;635;;0.617;1;3;NPL;1;0.0561;nr_of_nano_4_tradeoff_2;1;P;-
262;240613;4935;0.0025;0.0035;0.0047;497;0.02;0.81;n-BuOH;3400;;0.586;1;12;NC;1;0.0512;nr_of_nano_5_tradeoff_2;1;P;-
263;240613;3380;0.0031;0.0066;0.0088;217;0.02;0.41;n-BuOH;3490;;0.586;1;12;NC;1;0.2924;nr_of_nano_6_tradeoff_0.1;1;P;-
264;240613;4875;0.002;0.0043;0.0057;374;0.02;0.77;n-BuOH;3630;;0.586;1;12;NC;1;0.224;nr_of_nano_6_tradeoff_2;1;P;-
j1;jp25;2000;0.01;0.02128;0.0284;200;0.02;0.2;CyPen;2450;;;1;4;;1;0.1551;;1;S;-
j2;jp26;2000;0.01;0.0218;0.0284;200;0.02;0.2;EtOH;500;;;1;3  NCs;;0;0.24;;0;-;-
j3;jp27;2000;0.01;0.0218;0.0284;200;0.02;0.2;EtOH;1000;;;1;3;;1;0.105;;1;-;-
j4;jp28;1000;0.01;0.0218;0.0284;100;0.02;0.2;EtOH;1000;;;1;3;;1;0.137;;1;-;-
j5;jp29;1000;0.01;0.0218;0.0284;100;0.02;0.2;EtOH;1500;;;1;4;;1;0.186;;1;-;-
j6;jp30;1000;0.01;0.0218;0.0284;100;0.02;0.2;EtOH;2000;;;1;5 9;;0;0.514;;0;-;-
j7;jp31;1000;0.01;0.0218;0.0284;100;0.02;0.2;EtOH;2500;;;1;9;;1;0.431;;1;-;-
j8;jp32;1000;0.02;0.0436;0.0568;100;0.02;0.1;EtOH;2000;;;1;3;;1;0.0798;;1;-;-
j9;jp33;1000;0.02;0.0436;0.0568;100;0.02;0.1;EtOH;4000;;;1;5;;0;0.2473;;;-;-
j10;jp34;1000;0.01;0.0218;0.0284;100;0.02;0.2;EtOH;1750;;;1;4;;1;0.2131;;1;-;-
j11;jp35;1000;0.01;0.0218;0.0284;50;0.02;0.1;EtOH;2000;;;1;4;;1;0.2072;;1;-;-
j14;jp38;4691;0.0034;0.007412;0.009656;248.58;0.02;0.311710785;EtOH;892;;;1;3;;1;0.2732;L-Synth 8;1;S;-
j15;jp39;3485;0.00606;0.0132108;0.0172104;196;0.02;0.18561397;MeOH;962;;;1;;;0;0.1371;L-Synth 6;0;-;-
j16;jp40;3145;0.00696;0.0151728;0.0197664;174;0.02;0.158982512;MeOH;2366;;;1;;;1;0.4685;L-Synth 2;1;P;-
j17;jp41;3035;0.0021;0.004578;0.005964;165;0.02;0.517768887;n-BuOH;3295;;;1;;;1;0.1338;L-Synth 1;1;P;-
j18;jp42;2665;0.00477;0.0103986;0.0135468;356;0.02;0.560098489;n-BuOH;3265;;;1;;;1;0.1417;L-AVG-398;1;P;-
j19;jp43;2385;0.074;0.16132;0.21016;68;0.02;0.007705819;n-BuOH;4435;;;1;;;1;0.3161;L-Synth 9;1;P;-
j20;jp44;3331;0.0076;0.016568;0.021584;441;0.02;0.348401776;n-BuOH;4413;;;1;;;1;0.164;L-Synth 906;1;P;-
j21;jp45;637;0.01;0.0218;0.0284;165;0.02;0.518053375;n-BuOH;3295;;;1;;;1;0.1673;fast L-Synth 1;1;P;-
j22;jp46;675;0.047;0.10246;0.13348;169;0.02;0.106540583;EtOH;4435;;;1;;;1;0.7726;L-Synth-706;1;P;-
j23;jp47;4787;0.002;0.00436;0.00568;368;0.02;0.768748694;n-PrOH;1705;;;1;;;1;0.545;L-Synth 372;1;S;-
j24;jp48;4155;0.00409;0.0089162;0.0116156;288;0.02;0.338944154;n-PrOH;3185;;;1;;;0;0.2357;L-Synth 905;0;-;-
j25;jp49;2895;0.0031;0.006758;0.008804;242;0.02;0.539305811;n-BuOH;2215;;;1;;;0;0.2074;L-Synth 361;0;P;-
j26;jp50;150;0.1;0.218;0.284;100;0.02;0.133333333;n-BuOH;3300;;;1;;;1;0.7;;1;P;-
j27;jp51;400;0.06;0.1308;0.1704;270;0.02;0.225;n-PrOH;3900;;;1;;;0;0;;0;P;-
j28;jp52;740;0.032432432;0.070702703;0.092108108;270;0.02;0.225;n-PrOH;3900;;;1;;;1;0.2;;1;P;-
j29;jp53;2240;0.010714286;0.023357143;0.030428571;270;0.02;0.225;n-PrOH;3900;;;1;;;1;0.09;;1;S;-
j30;jp54;1662;0.01;0.0218;0.0284;288;0.02;0.346570397;n-PrOH;3185;;;1;;;1;0.19;;1;S;-
j32;jp56;740;0.032432432;0.070702703;0.092108108;270;0.02;0.225;n-BuOH;4800;;;1;;;1;0.4254;;1;S;-
j33;jp57;666;0.032432432;0.070702703;0.092108108;243;0.02;0.225;n-BuOH;4968;;;1;;;0;0.2473;;0;P;-
j34;jp58;592;0.032432432;0.070702703;0.092108108;216;0.02;0.225;n-BuOH;4800;;;1;;;1;0.1953;;1;S;-
j35;jp59;150;0.1;0.218;0.284;100;0.02;0.133333333;n-BuOH;3300;;;1;;;1;0.2107;;1;P;-
j36;jp60;675;0.047407407;0.103348148;0.134637037;169;0.02;0.105625;EtOH;4435;;;1;;;1;0.569;;1;P;-
j37;jp61;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;1000;;;1;3;;1;0.2838;;1;P;-
j38;jp62;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;1625;;;1;5;;1;0.343;;1;S;-
j39;jp63;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;2000;;;1;;;1;0.4331;;1;S;-
j40;jp64;150;0.1;0.218;0.284;100;0.02;0.133333333;n-BuOH;3300;;;1;;;0;0.27;;0;P;-
j41;jp65;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;2500;;;1;5;;1;0.406;;1;S;-
j42;jp66;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;3000;;;1;;;1;0.5164;;1;S;-
j43;jp67;500;0.01;0.0218;0.0284;100;0.02;0.4;HexOH;3500;;;1;;;1;0.6289;;1;P;-
j44;jp68;4606;0.001;0.00218;0.00284;538;0.02;233.608.337;EtOH;620;;;1;;;0;0.5848;L-Synth-9490;0;-;-
j45;jp69;3646;0.0059;0.012862;0.016756;20;0.02;0.018594792;EtOH;3935;;;1;;;0;0.9162;L-Synth-915;1;S;-
265;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;2500;;0.537;1;4;NPL;1;0.1525;;1;S;-
266;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;2500;;0.537;1;3;NPL;1;0.1316;;1;P;-
267;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;3500;;0.537;1;4;NPL;1;0.1882;;1;S;-
268;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;3500;;0.537;1;-;NPL;0;0.3054;;0;P;-
269;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;3750;;0.537;1;4;NPL;1;0.1605;;1;S;-
270;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;3750;;0.537;1;-;NPL;0;0.4118;;0;P;-
271;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;4000;;0.537;1;4;NPL;1;0.179;;1;S;-
272;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;4000;;0.537;1;4;NPL;1;0.4217;;1;P;-
273;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;5000;;0.537;1;4;NPL;1;0.2399;;1;S;-
274;240715;1000;0.01;0.0213;0.0284;100;0.02;0.2;OctOH;5000;;0.537;1;-;NPL;0;0.8361;;;P;-
275;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;2000;;0.546;1;4;;1;0.4129;;1;P;-
276;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;2500;;0.546;1;4;;1;0.3904;;1;P;-
277;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;3000;;0.546;1;-;;0;0.5176;;0;P;-
278;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;3500;;0.546;1;-;;0;0.6097;;0;P;-
279;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;4000;;0.546;1;7;;1;0.6475;;1;P;-
280;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;5000;;0.546;1;8;;1;0.5182;;1;P;-
281;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;1700;;0.546;1;4;;1;0.1554;;1;S;-
282;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;1700;;0.546;1;4;;1;0.3082;;1;P;-
283;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;2750;;0.546;1;-;;0;0.4178;;0;P;-
284;240816;1000;0.01;0.0213;0.0284;100;0.04;0.4;i-PrOH;4500;;0.546;1;7;;1;0.5968;;1;P;-
285;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;1750;;0.546;1;3;;1;0.1211;;1;P;-
286;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;2000;;0.546;1;3;;0;0.154;;0;P;-
287;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;2500;;0.546;1;-;;0;0.1601;;0;P;-
288;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;1750;;0.546;1;3;;1;0;;0;S;-
289;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;2000;;0.546;1;3;;1;0;;0;S;-
290;240821;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;2500;;0.546;1;4;;1;0;;0;S;-
291;240822;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;3000;;0.546;1;;;1;0.1661;;1;P;-
292;240822;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;3500;;0.546;1;;;1;0.1832;;1;P;-
293;240822;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;4000;;0.546;1;;;1;0.1918;;1;P;-
294;240822;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;4500;;0.546;1;;;1;0.2541;;1;P;-
295;240822;1000;0.01;0.0213;0.0284;100;0.02;0.2;i-PrOH;5000;;0.546;1;;;1;0.2703;;1;P;-
296;240828;1000;0.01;0.0213;0.0284;50;0.02;0.1;i-PrOH;250;;0.546;1;2;NPL;1;0.1177;;1;P;-
297;240828;1000;0.01;0.0213;0.0284;50;0.02;0.1;i-PrOH;500;;0.546;1;2;NPL;1;0.127;;1;P;-
298;240828;1000;0.01;0.0213;0.0284;50;0.02;0.1;i-PrOH;750;;0.546;1;2;NPL;1;0.1301;;1;P;-
299;240828;1000;0.01;0.0213;0.0284;75;0.02;0.15;i-PrOH;1000;;0.546;1;3;NPL;1;0.1445;;1;P;-
300;240828;1500;0.01;0.0213;0.0284;150;0.02;0.2;i-PrOH;250;;0.546;1;2;NPL;1;0.1349;;1;P;-
301;240828;1500;0.01;0.0213;0.0284;150;0.02;0.2;i-PrOH;500;;0.546;1;2;NPL;1;0.1455;;1;P;-
302;240823;1500;0.01;0.0213;0.0284;75;0.02;0.1;Tol;0;;0.099;1;2;NPL;1;0.1377;;1;P;-
303;240823;1500;0.01;0.0213;0.0284;75;0.04;0.2;Tol;0;;0.099;1;2;NPL;1;0.1551;;1;P;-
304;240823;1500;0.01;0.0213;0.0284;150;0.03;0.3;Tol;0;;0.099;1;3;NPL;1;0.3074;;1;P;-
305;240823;1000;0.01;0.0213;0.0284;100;0.04;0.4;Tol;0;;0.099;1;3;NPL;1;0.3154;;1;P;-
306;240823;1000;0.01;0.0213;0.0284;100;0.05;0.5;Tol;0;;0.099;1;4;NC;1;0.4748;;1;S;-
307;240823;1000;0.01;0.0213;0.0284;100;0.06;0.6;Tol;0;;0.099;1;5;NC;1;0.6356;;1;S;-
308;240823;1000;0.01;0.0213;0.0284;100;0.07;0.7;Tol;0;;0.099;1;6;NC;1;0.7926;;1;S;-
309;240823;1000;0.01;0.0213;0.0284;100;0.08;0.8;Tol;0;;0.099;1;7;NC;1;0.8475;;1;S;-
310;240823;1000;0.01;0.0213;0.0284;100;0.09;0.9;Tol;0;;0.099;1;8;NC;1;0.8484;;1;P;-
311;240823;1000;0.01;0.0213;0.0284;100;0.1;1;Tol;0;;0.099;1;12;NC;1;0.5293;;1;P;-
312;240823;4215;0.003;0.007;0.01;159;0.02;0.22;i-PrOH;4500;;0.546;1;-;NPL;0;0.2543;L-Synth-5301;;P;-
313;240823;4215;0.003;0.007;0.01;159;0.02;0.22;i-PrOH;4500;;0.546;1;4;NPL;1;0.2389;L-Synth-5301;1;S;-
314;JP01;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1335;;0.269;1;;;1;0;;;P;-
315;JP02;1000;0.005;0.0107;0.0142;100;0.02;0.4;CyPen;1335;;0.269;1;;;1;0;;;P;-
316;JP03;1000;0.0033;0.0071;0.0095;100;0.02;0.6;CyPen;1335;;0.269;1;;;1;0;;;P;-
317;JP04;1000;0.0025;0.0053;0.0071;100;0.02;0.8;CyPen;1335;;0.269;1;;;1;0;;;P;-
318;JP05;1000;0.002;0.0043;0.0057;100;0.02;1;CyPen;1335;;0.269;1;;;1;0;;;P;-
319;JP06;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;1335;;0.269;1;;;1;0;;;P;-
320;JP07;1000;0.004;0.0085;0.0114;100;0.02;0.5;CyPen;1335;;0.269;1;;;1;0;;;P;-
321;JP08;1000;0.0029;0.0061;0.0081;100;0.02;0.7;CyPen;1335;;0.269;1;;;1;0;;;P;-
322;JP10;1000;0.02;0.0426;0.0568;100;0.02;0.1;CyPen;1335;;0.269;1;;;1;0;;;P;-
323;JP11;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;1500;;0.269;1;;;1;0;;;P;-
324;JP12;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;1750;;0.269;1;;;1;0;;;P;-
325;JP13;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;2000;;0.269;1;;;1;0;;;P;-
326;JP15;1500;0.0066;0.0141;0.0187;150;0.02;0.3;CyPen;1125;;0.269;1;;;1;0;;;P;-
327;JP16;1500;0.0066;0.0141;0.0187;150;0.02;0.3;CyPen;750;;0.269;1;;;1;0;;;P;-
328;JP17;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;1250;;0.269;1;;;1;0;;;P;-
329;JP18;750;0.0066;0.0141;0.0187;75;0.02;0.3;CyPen;2000;;0.269;1;;;1;0;;;P;-
330;JP19;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;1000;;0.269;1;;;1;0;;;P;-
331;JP20;1000;0.0066;0.0141;0.0187;100;0.02;0.3;CyPen;2000;;0.269;1;;;1;0;;;P;-
332;JP21;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1500;;0.269;1;;;1;0;;;P;-
333;JP22;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1225;;0.269;1;;;1;0;;;P;-
334;JP23;750;0.02;0.0426;0.0568;75;0.02;0.1;CyPen;1840;;0.269;1;;;1;0;;;P;-
335;JP24;1000;0.01;0.0213;0.0284;100;0.02;0.2;CyPen;1225;;0.269;1;;;1;0.1518;;1;P;-
336;240905;4705;0.0063;0.0134;0.0178;68;0.02;0.05;MeOH;1390;;0.762;1;3;NPL;1;0.2341;L-SYNTH 2.0-5135;1;S;-
337;240905;4705;0.0063;0.0134;0.0178;68;0.02;0.05;MeOH;1390;;0.762;1;3;NPL;1;0.1457;L-SYNTH 2.0-5135;1;P;-
338;240905;2250;0.0072;0.0153;0.0204;68;0.02;0.08;CyPen;2520;;0.269;1;4;NPL;1;0.3024;L-SYNTH 2.0-5784;1;S;-
339;240905;2250;0.0072;0.0153;0.0204;68;0.02;0.08;CyPen;2520;;0.269;1;4;NPL;1;0.2571;L-SYNTH 2.0-5784;1;P;-
340;240905;2615;0.01;0.0213;0.0284;125;0.02;0.1;EtOH;3610;;0.654;1;3;NPL;1;0.2503;L-SYNTH 2.0-7065;1;P;-
341;240905;1740;0.01;0.0213;0.0284;68;0.02;0.08;BuOH;4500;;0.586;1;3;NPL;1;0.1224;L-SYNTH 2.0-6165;1;S;-
342;240905;1740;0.01;0.0213;0.0284;68;0.02;0.08;BuOH;4500;;0.586;1;4;NPL;1;0.1317;L-SYNTH 2.0-6165;1;P;-
343;240905;4645;0.01;0.0213;0.0284;68;0.02;0.03;MeOH;2660;;0.762;1;-;NPL;0;0.2683;L-SYNTH 2.0-7414;;P;-
j46;jp70;750;0.01;0.0218;0.0284;25;0.02;0.066666667;n-BuOH;1650;;;;;;1;0.368;;1;P;-
j47;jp71;750;0.01;0.0218;0.0284;25;0.02;0.066666667;n-BuOH;1650;;;;;;1;0.4088;;1;P;-
j48;jp72;3171;0.01;0.0218;0.0284;121;0.02;0.076316619;EtOH;1105;;;;;;1;0.32;;1;P;-
