;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;baseline;artificial;encoding;fwhm;peak_pos;NPL_type;poly_peak_pos;peak_pos_eV
15;55;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.25;1.0;1.0;0.0;P;3.0;15.0;6.165;0.2;0.2055;0.041666666666666664;0.20231538720917164;55.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.14197587758775887;496.0;6.0;;
16;56;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.3;1.0;1.0;0.0;P;3.0;15.0;7.398;0.2;0.2466;0.05;0.2304147465437788;56.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.13505274527452782;506.0;8.0;;
17;57;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.35;1.0;0.0;0.0;P;3.0;15.0;8.631;0.2;0.2877;0.058333333333333334;0.25851410587838597;57.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.1493123312331237;505.0;8.0;;
18;58;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;3.0;15.0;9.864;0.2;0.32880000000000004;0.06666666666666667;0.28661346521299313;58.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.09382394239423952;512.0;9.0;;
19;59;0.2182952182952183;0.09090909090909091;0.4889267461669506;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;6.0;12.0;9.864;0.5;0.411;0.03333333333333333;0.26975384961222887;59.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08514419441944199;512.0;9.0;;
20;60;0.20270270270270271;0.09090909090909091;0.616695059625213;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;7.5;11.25;9.864;0.6666666666666666;0.4384;0.02666666666666667;0.26975384961222887;60.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08266426642664282;513.0;9.0;;
21;61;0.17671517671517672;0.09090909090909091;0.8296422487223168;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;10.0;10.0;6.852;1.0;0.34259999999999996;0.02;0.26975384961222887;61.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09144734473447347;514.0;9.0;;
22;62;0.17671517671517672;0.09090909090909091;0.8296422487223168;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;10.0;10.0;9.864;1.0;0.4932;0.02;0.26975384961222887;62.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.07884104410441051;514.0;9.0;;
23;63;0.30353430353430355;0.09090909090909091;0.04599659284497445;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;0.8;16.1;6.852;0.049689440993788817;0.21279503105590059;0.25;0.28661346521299313;63.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13122952295229506;461.0;3.0;;
24;64;0.29521829521829523;0.09090909090909091;0.1141396933560477;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;1.6;15.700000000000001;6.852;0.10191082802547771;0.21821656050955412;0.125;0.28661346521299313;64.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13463942394239403;462.99999999999994;3.0;;
