Sample No.,molecule_name,monodispersity,S/P
285,Isopropanol,1,P
baseline,Isopropanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
220,Methanol,1,P
baseline,Methanol,1,SP
11,Methanol,1,P
baseline,Methanol,1,SP
13,Methanol,1,P
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
51,Methanol,1,P
52,Methanol,1,P
62,Methanol,1,P
53,Methanol,1,P
baseline,Methanol,1,SP
55,Methanol,1,P
56,Methanol,1,P
baseline,Methanol,1,SP
58,Methanol,1,P
59,Methanol,1,P
baseline,Methanol,1,SP
60,Methanol,1,P
54,Methanol,1,P
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
114,Methanol,1,P
113,Methanol,1,P
432,Methanol,1,P
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
baseline,Methanol,1,SP
115,Methanol,1,P
baseline,Methanol,1,SP
j16,Methanol,1,P
baseline,Methanol,1,SP
96,Methanol,1,P
100,Methanol,1,P
101,Methanol,1,P
337,Methanol,1,P
105,Methanol,1,P
107,Methanol,1,P
110,Methanol,1,P
baseline,Methanol,1,SP
j177,Methanol,1,P
j176,Methanol,1,P
j171,Methanol,1,P
baseline,Methanol,1,SP
117,Methanol,1,P
116,Methanol,1,P
223,Methanol,1,P
baseline,Methanol,1,SP
baseline,Methanol,1,SP
221,Methanol,1,P
209,Methanol,1,P
111,Methanol,1,P
207,Methanol,1,P
201,Methanol,1,P
200,Methanol,1,P
199,Methanol,1,P
178,Methanol,1,P
160,Methanol,1,P
92,Methanol,1,P
j168,Methanol,1,P
j169,Methanol,1,P
j170,Methanol,1,P
202,Methanol,1,P
112,Methanol,1,P
345,Toluene,1,P
360,Toluene,1,P
311,Toluene,1,P
baseline,Toluene,1,SP
310,Toluene,1,P
305,Toluene,1,P
304,Toluene,1,P
303,Toluene,1,P
302,Toluene,1,P
baseline,Toluene,1,SP
129,Toluene,1,P
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
baseline,Toluene,1,SP
347,Toluene,1,P
