,2,3,4,5,6,7,8,9
Methanol,0.0,0.3037,0.4061,0.4485,0.5541,0.6156,0.6558,0.7182
Ethanol,0.0,0.5376,0.4492,0.7726,0.0,0.0,0.0,0.431
Butanol,0.3161,0.7,0.4254,0.0,0.3713,0.8772,0.6075,0.5699
Toluene,0.1551,0.4061,0.4748,0.0,0.7926,0.0,0.8475,0.8484
Cyclopentanone,0.0,0.1518,0.4038,0.3024,0.4701,0.4099,0.0,0.0
