sample_number	peak_pos	y
142	2.8770301624129933	0.0257
j19	2.8770301624129933	0.3161
296	2.857142857142857	0.1177
297	2.863741339491917	0.127
298	2.8770301624129933	0.1301
300	2.8703703703703702	0.1349
301	2.8703703703703702	0.1455
302	2.8440366972477062	0.1377
303	2.8440366972477062	0.1551
j70	2.883720930232558	0.1085
j73	2.883720930232558	0.33
