;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
61;63;1610;0.01;40.0;0.02;EtOH;2000;1.0;1.0;0.0;P;0.8;16.1;34260.0;0.049689440993788817;0.21279503105590059;0.25;3650.0;63.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13122952295229506;461.0
62;64;1570;0.01;80.0;0.02;EtOH;2000;1.0;1.0;0.0;P;1.6;15.700000000000001;34260.0;0.10191082802547771;0.21821656050955412;0.125;3650.0;64.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13463942394239403;462.99999999999994
63;65;1535;0.01;115.0;0.02;EtOH;2000;1.0;1.0;0.0;P;2.3000000000000003;15.35;34260.0;0.1498371335504886;0.22319218241042346;0.08695652173913042;3650.0;65.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.14610909090909097;471.0
64;66;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;3650.0;66.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13174617461746152;475.00000000000006
65;67;1465;0.01;185.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.7;14.65;34260.0;0.2525597269624573;0.23385665529010238;0.05405405405405406;3650.0;67.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1275096309630963;477.0
66;68;1435;0.01;215.0;0.02;EtOH;2000;1.0;1.0;0.0;P;4.3;14.35;34260.0;0.29965156794425085;0.23874564459930311;0.046511627906976744;3650.0;68.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.166878487848785;475.00000000000006
67;69;1395;0.01;245.0;0.02;EtOH;2000;1.0;0.0;0.0;P;4.9;13.950000000000001;34260.0;0.35125448028673834;0.24559139784946235;0.04081632653061224;3640.0;69.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.21089720972097226;494.00000000000006
68;70;1365;0.01;270.0;0.02;EtOH;2000;1.0;0.0;0.0;P;5.4;13.65;34260.0;0.39560439560439564;0.250989010989011;0.037037037037037035;3635.0;70.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.20325076507650763;499.0
69;71;1500;0.01;600.0;0.005;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;4100.0;71.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13784266426642677;464.0
70;72;1500;0.01;150.0;0.01;EtOH;2000;1.0;1.0;0.0;P;1.5;15.0;34260.0;0.1;0.2284;0.13333333333333333;3650.0;72.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13577605760576006;467.0
