Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
82;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
83;1500;0.009;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
84;1500;0.008;150.0;0.02;EtOH;2000;1.0;0.0;0.0;P
85;1500;0.0066;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
86;1500;0.005;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
87;1500;0.01;150.0;0.02;Ac;2000;1.0;1.0;0.0;P
88;1500;0.01;150.0;0.02;ACN;2000;1.0;1.0;0.0;P
89;1500;0.01;75.0;0.02;EtAc;1000;1.0;1.0;0.0;P
90;1500;0.01;75.0;0.02;MeAc;1000;1.0;1.0;0.0;P
91;1500;0.01;75.0;0.02;EtOH;1000;1.0;1.0;0.0;P
92;1500;0.01;75.0;0.02;MeOH;1000;1.0;1.0;0.0;P
93;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
94;1500;0.01;150.0;0.02;EtAc;2000;1.0;1.0;0.0;P
95;1500;0.01;150.0;0.02;MeAc;2000;1.0;1.0;0.0;P
96;1500;0.01;150.0;0.02;MeOH;1000;1.0;1.0;0.0;P
97;1200;0.01;300.0;0.02;EtAc;2000;1.0;1.0;0.0;P
98;1200;0.01;300.0;0.02;MeAc;2000;1.0;1.0;0.0;P
99;1200;0.01;300.0;0.02;EtOH;2000;1.0;0.0;0.0;P
100;1200;0.01;300.0;0.02;MeOH;2000;1.0;1.0;0.0;P
101;1200;0.01;300.0;0.02;MeOH;1000;1.0;1.0;0.0;P
102;1125;0.01;375.0;0.02;EtAc;2000;1.0;1.0;0.0;P
103;1125;0.01;375.0;0.02;MeAc;2000;1.0;1.0;0.0;P
104;1125;0.01;375.0;0.02;EtOH;2000;1.0;1.0;0.0;P
105;1125;0.01;375.0;0.02;MeOH;2000;1.0;1.0;0.0;P
106;1000;0.01;500.0;0.02;EtOH;2000;1.0;0.0;0.0;P
107;1000;0.01;500.0;0.02;MeOH;2000;1.0;1.0;0.0;P
108;1000;0.01;500.0;0.02;MeAc;2000;1.0;1.0;0.0;P
109;1000;0.01;500.0;0.02;EtAc;2000;1.0;1.0;0.0;P
110;1500;0.01;75.0;0.02;MeOH;125;1.0;1.0;0.0;P
111;1500;0.01;75.0;0.02;MeOH;250;1.0;1.0;0.0;P
112;1500;0.01;75.0;0.02;MeOH;375;1.0;1.0;0.0;P
113;1500;0.01;75.0;0.02;MeOH;500;1.0;1.0;0.0;P
114;1500;0.01;75.0;0.02;MeOH;625;1.0;1.0;0.0;P
115;1500;0.01;75.0;0.02;MeOH;750;1.0;1.0;0.0;P
116;1500;0.01;75.0;0.02;MeOH;875;1.0;1.0;0.0;P
117;1500;0.01;75.0;0.02;MeOH;1000;1.0;1.0;0.0;P
118;1500;0.01;150.0;0.02;EtOH;250;1.0;1.0;0.0;P
119;1500;0.01;150.0;0.02;EtOH;500;1.0;1.0;0.0;P
120;1500;0.01;150.0;0.02;EtOH;750;1.0;1.0;0.0;P
121;1500;0.01;150.0;0.02;EtOH;1000;1.0;1.0;0.0;P
122;1500;0.01;150.0;0.02;EtOH;1250;1.0;1.0;0.0;P
123;1500;0.01;150.0;0.02;EtOH;1500;1.0;1.0;0.0;P
124;1500;0.01;150.0;0.02;EtOH;1750;1.0;1.0;0.0;P
125;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
126;1500;0.01;75.0;0.02;Ac;2000;1.0;1.0;0.0;P
127;1500;0.01;75.0;0.04;Ac;2000;1.0;1.0;0.0;P
128;1500;0.01;75.0;0.04;Ac;1000;1.0;1.0;0.0;P
