Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
302;1500;0.01;75.0;0.02;Tol;0;1.0;1.0;0.1377;P
303;1500;0.01;75.0;0.04;Tol;0;1.0;1.0;0.1551;P
304;1500;0.01;150.0;0.03;Tol;0;1.0;1.0;0.3074;P
305;1000;0.01;100.0;0.04;Tol;0;1.0;1.0;0.3154;P
306;1000;0.01;100.0;0.05;Tol;0;1.0;1.0;0.4748;S
307;1000;0.01;100.0;0.06;Tol;0;1.0;1.0;0.6356;S
308;1000;0.01;100.0;0.07;Tol;0;1.0;1.0;0.7926;S
309;1000;0.01;100.0;0.08;Tol;0;1.0;1.0;0.8475;S
310;1000;0.01;100.0;0.09;Tol;0;1.0;1.0;0.8484;P
311;1000;0.01;100.0;0.1;Tol;0;1.0;1.0;0.5293;P
312;4215;0.003;159.0;0.02;i-PrOH;4500;1.0;0.0;0.2543;P
313;4215;0.003;159.0;0.02;i-PrOH;4500;1.0;1.0;0.2389;S
314;1000;0.01;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
315;1000;0.005;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
316;1000;0.0033;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
317;1000;0.0025;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
318;1000;0.002;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
319;1000;0.0066;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
320;1000;0.004;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
321;1000;0.0029;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
322;1000;0.02;100.0;0.02;CyPen;1335;1.0;1.0;0.0;P
323;1000;0.0066;100.0;0.02;CyPen;1500;1.0;1.0;0.0;P
324;1000;0.0066;100.0;0.02;CyPen;1750;1.0;1.0;0.0;P
325;1000;0.0066;100.0;0.02;CyPen;2000;1.0;1.0;0.0;P
326;1500;0.0066;150.0;0.02;CyPen;1125;1.0;1.0;0.0;P
327;1500;0.0066;150.0;0.02;CyPen;750;1.0;1.0;0.0;P
328;1000;0.0066;100.0;0.02;CyPen;1250;1.0;1.0;0.0;P
329;750;0.0066;75.0;0.02;CyPen;2000;1.0;1.0;0.0;P
330;1000;0.0066;100.0;0.02;CyPen;1000;1.0;1.0;0.0;P
331;1000;0.0066;100.0;0.02;CyPen;2000;1.0;1.0;0.0;P
332;1000;0.01;100.0;0.02;CyPen;1500;1.0;1.0;0.0;P
333;1000;0.01;100.0;0.02;CyPen;1225;1.0;1.0;0.0;P
334;750;0.02;75.0;0.02;CyPen;1840;1.0;1.0;0.0;P
335;1000;0.01;100.0;0.02;CyPen;1225;1.0;1.0;0.1518;P
336;4705;0.0063;68.0;0.02;MeOH;1390;1.0;1.0;0.2341;S
337;4705;0.0063;68.0;0.02;MeOH;1390;1.0;1.0;0.1457;P
338;2250;0.0072;68.0;0.02;CyPen;2520;1.0;1.0;0.3024;S
339;2250;0.0072;68.0;0.02;CyPen;2520;1.0;1.0;0.2571;P
340;2615;0.01;125.0;0.02;EtOH;3610;1.0;1.0;0.2503;P
341;1740;0.01;68.0;0.02;BuOH;4500;1.0;1.0;0.1224;S
342;1740;0.01;68.0;0.02;BuOH;4500;1.0;1.0;0.1317;P
343;4645;0.01;68.0;0.02;MeOH;2660;1.0;0.0;0.2683;P
j46;750;0.01;25.0;0.02;n-BuOH;1650;;1.0;0.368;P
j47;750;0.01;25.0;0.02;n-BuOH;1650;;1.0;0.4088;P
j49;2916;0.003998628;364.0;0.02;n-BuOH;3310;;1.0;0.207;P
j50;1500;0.01;100.0;0.02;n-BuOH;3300;;1.0;0.0967;P
j51;2150;0.01;40.0;0.02;EtOH;3940;;1.0;0.356;P
j52;2387;0.037012987;68.0;0.02;n-BuOH;4435;;0.0;0.2;P
j53;150;0.05;100.0;0.02;n-BuOH;3300;;1.0;0.257;P
j54;675;0.023703704;169.0;0.02;EtOH;4435;;1.0;0.3437;P
j55;150;0.025;25.0;0.02;n-BuOH;1650;;0.0;0.2547;P
j56;300;0.05;50.0;0.02;n-BuOH;3300;;1.0;0.1423;P
344;1500;0.01;150.0;0.025;Tol;0;1.0;1.0;0.3272;S
345;1500;0.01;150.0;0.025;Tol;0;1.0;1.0;0.3272;P
346;1500;0.01;150.0;0.045;Tol;0;1.0;1.0;0.4061;S
347;1500;0.01;150.0;0.045;Tol;0;1.0;1.0;0.3744;P
348;2590;0.01;403.0;0.02;CyPen;5000;1.0;1.0;0.2984;S
349;2590;0.01;403.0;0.02;CyPen;5000;1.0;1.0;0.263;P
350;2425;0.01;25.0;0.02;CyPen;4900;0.0;0.0;;-
351;2415;0.01;100.0;0.02;CyPen;4710;1.0;1.0;0.4292;S
352;2415;0.01;100.0;0.02;CyPen;4710;1.0;1.0;0.4292;P
353;678;0.01;152.5;0.02;CyPen;1975;1.0;1.0;0.4099;S
354;678;0.01;152.5;0.02;CyPen;1975;1.0;1.0;0.2626;P
355;1655;0.01;38.0;0.02;CyPen;4950;0.0;0.0;;-
356;1475;0.01;100.0;0.02;CyPen;4320;1.0;1.0;0.4701;S
357;1475;0.01;100.0;0.02;CyPen;4320;1.0;1.0;0.3623;P
358;1500;0.01;75.0;0.02;Tol;0;1.0;1.0;0.0391;P
359;1500;0.01;37.5;0.02;Tol;0;1.0;0.0;;P
360;1500;0.01;75.0;0.04;Tol;0;;1.0;;P
414;3000;0.01;150.0;0.02;EtOH;500;;1.0;;P
415;3000;0.01;150.0;0.02;EtOH;1000;;1.0;;P
j168;2466;0.01;200.0;0.02;MeOH;500;;1.0;0.0;P
j169;2466;0.01;20.0;0.2;MeOH;500;;1.0;0.0;P
j170;2466;0.01;200.0;0.04;MeOH;500;;1.0;0.0;P
j171;2466;0.01;200.0;0.065;MeOH;500;;1.0;0.0;P
j176;1262;0.0093;100.0;0.02;MeOH;500;;1.0;0.0;P
j177;1262;0.0093;15.0;0.2;MeOH;500;;1.0;0.0;P
421;1270;0.01;100.0;0.02;CyPen;2470;1.0;1.0;0.4108;P
422;1270;0.01;100.0;0.02;CyPen;2470;1.0;1.0;0.5046;S
423;1270;0.01;100.0;0.02;CyPen;2470;1.0;1.0;0.3745;P
424;1270;0.01;100.0;0.02;CyPen;2470;1.0;1.0;0.4258;S
425;1130;0.01;100.0;0.02;CyPen;2325;1.0;1.0;0.4783;P
426;1130;0.01;100.0;0.02;CyPen;2325;1.0;1.0;0.7443;S
430;1000;0.01;110.0;0.02;MeOH;425;1.0;0.0;;P
431;1000;0.01;110.0;0.02;MeOH;425;1.0;1.0;;S
432;1000;0.01;150.0;0.02;MeOH;425;1.0;1.0;;P
433;1000;0.01;150.0;0.02;MeOH;425;1.0;1.0;;S
434;1000;0.01;165.0;0.02;MeOH;425;1.0;0.0;;P
435;1000;0.01;165.0;0.02;MeOH;425;1.0;1.0;;S
436;750;0.01;150.0;0.02;OctOH;2390;1.0;1.0;;P
437;750;0.01;150.0;0.02;OctOH;4785;1.0;0.0;;P
438;650;0.01;198.0;0.02;OctOH;3110;1.0;0.0;;P
439;750;0.01;75.0;0.02;OctOH;4785;1.0;1.0;;P
440;522;0.01;52.0;0.02;OctOH;5000;1.0;1.0;;P
441;750;0.01;150.0;0.02;OctOH;2390;1.0;1.0;;S
442;750;0.01;150.0;0.02;OctOH;4785;1.0;1.0;;S
443;650;0.01;198.0;0.02;OctOH;3110;1.0;1.0;;S
444;750;0.01;75.0;0.02;OctOH;4785;1.0;1.0;;S
445;522;0.01;52.0;0.02;OctOH;5000;1.0;1.0;;S
